"ano","regiao","tipo_populacao","total_entrevistas"
2006,"Centro-Oeste","População Geral",8050
2007,"Centro-Oeste","População Geral",8039
2008,"Centro-Oeste","População Geral",8048
2009,"Centro-Oeste","População Geral",8048
2010,"Centro-Oeste","População Geral",8041
2011,"Centro-Oeste","População Geral",8003
2012,"Centro-Oeste","População Geral",6667
2013,"Centro-Oeste","População Geral",7817
2014,"Centro-Oeste","População Geral",6031
2015,"Centro-Oeste","População Geral",8015
2016,"Centro-Oeste","População Geral",7981
2017,"Centro-Oeste","População Geral",8184
2018,"Centro-Oeste","População Geral",8070
2019,"Centro-Oeste","População Geral",8272
2020,"Centro-Oeste","População Geral",4008
2021,"Centro-Oeste","População Geral",4015
2023,"Centro-Oeste","População Geral",3215
2006,"Nordeste","População Geral",18129
2007,"Nordeste","População Geral",18084
2008,"Nordeste","População Geral",18119
2009,"Nordeste","População Geral",18131
2010,"Nordeste","População Geral",18184
2011,"Nordeste","População Geral",18032
2012,"Nordeste","População Geral",15111
2013,"Nordeste","População Geral",17667
2014,"Nordeste","População Geral",13632
2015,"Nordeste","População Geral",18046
2016,"Nordeste","População Geral",17732
2017,"Nordeste","População Geral",17185
2018,"Nordeste","População Geral",16519
2019,"Nordeste","População Geral",16479
2020,"Nordeste","População Geral",9047
2021,"Nordeste","População Geral",9038
2023,"Nordeste","População Geral",7242
2006,"Norte","População Geral",14104
2007,"Norte","População Geral",14069
2008,"Norte","População Geral",14096
2009,"Norte","População Geral",14089
2010,"Norte","População Geral",14058
2011,"Norte","População Geral",14097
2012,"Norte","População Geral",11780
2013,"Norte","População Geral",13722
2014,"Norte","População Geral",10587
2015,"Norte","População Geral",14086
2016,"Norte","População Geral",13877
2017,"Norte","População Geral",13819
2018,"Norte","População Geral",13467
2019,"Norte","População Geral",13386
2020,"Norte","População Geral",7016
2021,"Norte","População Geral",7025
2023,"Norte","População Geral",5613
2006,"Sudeste","População Geral",8045
2007,"Sudeste","População Geral",8037
2008,"Sudeste","População Geral",8055
2009,"Sudeste","População Geral",8052
2010,"Sudeste","População Geral",8030
2011,"Sudeste","População Geral",8010
2012,"Sudeste","População Geral",6863
2013,"Sudeste","População Geral",7836
2014,"Sudeste","População Geral",6065
2015,"Sudeste","População Geral",8017
2016,"Sudeste","População Geral",7893
2017,"Sudeste","População Geral",8003
2018,"Sudeste","População Geral",8211
2019,"Sudeste","População Geral",8249
2020,"Sudeste","População Geral",4003
2021,"Sudeste","População Geral",4006
2023,"Sudeste","População Geral",3206
2006,"Sul","População Geral",6041
2007,"Sul","População Geral",6022
2008,"Sul","População Geral",6035
2009,"Sul","População Geral",6047
2010,"Sul","População Geral",6026
2011,"Sul","População Geral",6002
2012,"Sul","População Geral",5027
2013,"Sul","População Geral",5887
2014,"Sul","População Geral",4538
2015,"Sul","População Geral",6010
2016,"Sul","População Geral",5727
2017,"Sul","População Geral",5843
2018,"Sul","População Geral",6128
2019,"Sul","População Geral",6057
2020,"Sul","População Geral",3003
2021,"Sul","População Geral",3009
2023,"Sul","População Geral",2414
2018,"Centro-Oeste","População Negra",8070
2018,"Nordeste","População Negra",16519
2018,"Norte","População Negra",13467
2018,"Sudeste","População Negra",8212
2018,"Sul","População Negra",6128
