"ano","regiao","tipo_populacao","soma_pesorake"
2006,"Centro-Oeste","População Geral",2537885.9979266
2007,"Centro-Oeste","População Geral",2725013.004509
2008,"Centro-Oeste","População Geral",2731412.0066298
2009,"Centro-Oeste","População Geral",2786033.991955
2010,"Centro-Oeste","População Geral",2808788.0034001
2011,"Centro-Oeste","População Geral",2835863.005672
2012,"Centro-Oeste","População Geral",2862048.998307
2013,"Centro-Oeste","População Geral",2888490.9941484
2014,"Centro-Oeste","População Geral",2915191.994336
2015,"Centro-Oeste","População Geral",2942155
2016,"Centro-Oeste","População Geral",2969383
2017,"Centro-Oeste","População Geral",2996878
2018,"Centro-Oeste","População Geral",3024642.99999999
2019,"Centro-Oeste","População Geral",3052680
2020,"Centro-Oeste","População Geral",3080992
2021,"Centro-Oeste","População Geral",3105311.22460938
2023,"Centro-Oeste","População Geral",3170058.73046875
2006,"Nordeste","População Geral",11205000.0212979
2007,"Nordeste","População Geral",11838430.9808918
2008,"Nordeste","População Geral",11766708.0110997
2009,"Nordeste","População Geral",11927415.9194007
2010,"Nordeste","População Geral",12563486.0233681
2011,"Nordeste","População Geral",12673606.9782592
2012,"Nordeste","População Geral",12780110.9679754
2013,"Nordeste","População Geral",12887812.9486759
2014,"Nordeste","População Geral",12996731.0056314
2015,"Nordeste","População Geral",13106882
2016,"Nordeste","População Geral",13218285
2017,"Nordeste","População Geral",13330958
2018,"Nordeste","População Geral",13444920
2019,"Nordeste","População Geral",13560189
2020,"Nordeste","População Geral",13676787
2021,"Nordeste","População Geral",13760820.1318359
2023,"Nordeste","População Geral",13933810.4418945
2006,"Norte","População Geral",8677961.0111714
2007,"Norte","População Geral",9073410.9903599
2008,"Norte","População Geral",9079183.9732067
2009,"Norte","População Geral",9192694.994839
2010,"Norte","População Geral",9449315.9913989
2011,"Norte","População Geral",9508389.9816539
2012,"Norte","População Geral",9565708.0074821
2013,"Norte","População Geral",9623444.9967213
2014,"Norte","População Geral",9681607.0117886
2015,"Norte","População Geral",9740197.99999999
2016,"Norte","População Geral",9799221.99999999
2017,"Norte","População Geral",9858683.99999998
2018,"Norte","População Geral",9918587.99999998
2019,"Norte","População Geral",9978937
2020,"Norte","População Geral",10039738
2021,"Norte","População Geral",10108300.9804688
2023,"Norte","População Geral",10291334.3701172
2006,"Sudeste","População Geral",5566090.012094
2007,"Sudeste","População Geral",5927463.0076006
2008,"Sudeste","População Geral",6181151.0086726
2009,"Sudeste","População Geral",6298278.996927
2010,"Sudeste","População Geral",6221626.991349
2011,"Sudeste","População Geral",6277186.016046
2012,"Sudeste","População Geral",6330928.021648
2013,"Sudeste","População Geral",6385243.9961925
2014,"Sudeste","População Geral",6440140.990779
2015,"Sudeste","População Geral",6495625.99999999
2016,"Sudeste","População Geral",6551705.99999999
2017,"Sudeste","População Geral",6608387.99999999
2018,"Sudeste","População Geral",6665679.99999999
2019,"Sudeste","População Geral",6723589
2020,"Sudeste","População Geral",6782123
2021,"Sudeste","População Geral",6825224.015625
2023,"Sudeste","População Geral",6909762.2109375
2006,"Sul","População Geral",2059254.9911402
2007,"Sul","População Geral",2220577.0069899
2008,"Sul","População Geral",2233573.9962283
2009,"Sul","População Geral",2281278.0088983
2010,"Sul","População Geral",2380132.000439
2011,"Sul","População Geral",2407259.0019864
2012,"Sul","População Geral",2433493.000593
2013,"Sul","População Geral",2460022.9958854
2014,"Sul","População Geral",2486856.0074113
2015,"Sul","População Geral",2513994
2016,"Sul","População Geral",2541440
2017,"Sul","População Geral",2569198
2018,"Sul","População Geral",2597271.99999999
2019,"Sul","População Geral",2625666
2020,"Sul","População Geral",2654383
2021,"Sul","População Geral",2678380.41210937
2023,"Sul","População Geral",2742956.8984375
2018,"Centro-Oeste","População Negra",2966210
2018,"Nordeste","População Negra",13129237
2018,"Norte","População Negra",9818277.99999999
2018,"Sudeste","População Negra",6549809.00000001
2018,"Sul","População Negra",2558743
